,duration,actor_2_name,genres,actor_1_name,actor_3_name,plot_keywords,budget,success_label,director_name,movie_title
616,88.0,Stephen Rea,Action|Fantasy|Horror,Theo James,Sandrine Holt,battle|cryogenics|detective|scientist|vampire,70000000.0,0,Måns Mårlind,Underworld: Awakening 
1609,78.0,Casey Kasem,Adventure|Animation|Comedy|Family|Romance,Elizabeth Daily,Debbie Reynolds,amusement park|baby|france|paris france|villain,30000000.0,0,Stig Bergqvist,Rugrats in Paris: The Movie 
3791,94.0,Don Gordon,Drama,Raymond Burr,Jim Byrnes,explosion|hitchhiking|punk|trauma|truck driver,2200000.0,1,Dennis Hopper,Out of the Blue 
4994,81.0,Greg Aronowitz,Biography|Documentary,Taliesin Jaffe,Jeff Dowd,comic book|comic book history|comics|spawn|walking dead,50000.0,1,Patrick Meaney,The Image Revolution 
3990,85.0,Holt McCallany,Comedy|Fantasy|Horror|Thriller,George Kennedy,Dorothy Lamour,anthology|hit and run|hit by a car|living statue|melting woman,3500000.0,0,Michael Gornick,Creepshow 2 
2821,97.0,Dan Hedaya,Comedy|Romance,Donald Faison,Elisa Donovan,female protagonist|high school|makeover|matchmaker|popularity,12000000.0,1,Amy Heckerling,Clueless 
4864,90.0,Charlie Bewley,Drama|Romance,Jennifer Lawrence,Finola Hughes,girlfriend|immigration|long distance relationship|parents|student visa,250000.0,1,Drake Doremus,Like Crazy 
3552,88.0,Brendan Coyle,Action|Comedy|Crime|Drama|Romance|Thriller,Jim Broadbent,Michael McElhatton,burglary|estranged father|money|neighbor|thug,,0,Ian Fitzgibbon,Perrier's Bounty 
665,124.0,Leon,Action|Adventure|Thriller,Sylvester Stallone,Janine Turner,money|mountain|rocky mountains|snow|suitcase,70000000.0,0,Renny Harlin,Cliffhanger 
2383,116.0,Jennifer Jason Leigh,Crime|Drama|Music|Thriller,Steve Buscemi,Miranda Richardson,1930s|election|female frontal nudity|kansas city|politician,19000000.0,0,Robert Altman,Kansas City 
1671,85.0,Mimi Rogers,Comedy,Elden Henson,Cheri Oteri,1980s|buddy|high school|prequel to cult favorite|teenager,19000000.0,0,Troy Miller,Dumb and Dumberer: When Harry Met Lloyd 
581,106.0,Merritt Wever,Drama|Sci-Fi|Thriller,Rory Culkin,Cherry Jones,crop circle|faith|farm|glass of water|loss of faith,72000000.0,1,M. Night Shyamalan,Signs 
2879,112.0,Daniel Auteuil,Drama|Romance,Emir Kusturica,Yves Jacques,archipelago|guillotine|island|prison|redemption,100000000.0,1,Patrice Leconte,The Widow of Saint-Pierre 
1853,100.0,Frankie Muniz,Action|Adventure|Comedy|Family|Romance|Sci-Fi,Daniel Roebuck,David Kelly,chase|evil scientist|gadget|mind control|tough girl,26000000.0,0,Kevin Allen,Agent Cody Banks 2: Destination London 
2992,172.0,Sabrina Ferilli,Drama,Toni Servillo,Serena Grandi,genitalia|male frontal nudity|male nudity|old age|party,9200000.0,1,Paolo Sorrentino,The Great Beauty 
11,169.0,Marlon Brando,Action|Adventure|Sci-Fi,Kevin Spacey,Frank Langella,crystal|epic|lex luthor|lois lane|return to earth,209000000.0,0,Bryan Singer,Superman Returns 
3037,101.0,Peter Coyote,Drama|Romance,Lauren German,Paz de la Huerta,community service|love|punishment|school|student,11000000.0,1,Adam Shankman,A Walk to Remember 
2285,103.0,Christopher Guest,Comedy|Drama|Music|War,Bob Hoskins,Sarah Solemani,anti semitism|breasts|chamberlain|friend|theatre,20000000.0,1,Stephen Frears,Mrs Henderson Presents 
1885,122.0,Stephen Root,Crime|Drama|Thriller,Kelly Macdonald,Barry Corbin,coin toss|desert|sheriff|texas|tracking device,25000000.0,1,Ethan Coen,No Country for Old Men 
1263,123.0,Haley Joel Osment,Drama,Kevin Spacey,Angie Dickinson,alcoholism|boy|good deed|protective male|teacher,40000000.0,1,Mimi Leder,Pay It Forward 
2864,104.0,Virginia Madsen,Adventure|Drama|Sci-Fi,J.K. Simmons,Bruce Dern,bank|fbi|fuel|rocket|space travel,13000000.0,0,Michael Polish,The Astronaut Farmer 
1497,101.0,Lee Arenberg,Action|Adventure|Fantasy,Marley Shelton,Angus Macfadyen,anthropomorphic animal|football|kangaroo|sword and sorcery|water boy,35000000.0,0,Ronny Yu,Warriors of Virtue 
4076,146.0,Jean Simmons,Drama,Shirley Jones,Edward Andrews,1920s|evangelist|preacher|revival|traveling salesman,3000000.0,1,Richard Brooks,Elmer Gantry 
1247,98.0,Charles S. Dutton,Horror|Mystery|Thriller,Robert Downey Jr.,Bernard Hill,memory|murder|patient|psychiatrist|the devil,40000000.0,0,Mathieu Kassovitz,Gothika 
4081,99.0,Jimmy Jean-Louis,Comedy,Mo'Nique,Joyful Drake,female protagonist|size positive|thin|title directed by female|wet dream,3000000.0,0,Nnegest Likké,Phat Girlz 
