duration,actor_2_name,genres,actor_1_name,actor_3_name,plot_keywords,budget,success_label,director_name,movie_title
178.0,Joel David Moore,Action|Adventure|Fantasy|Sci-Fi,CCH Pounder,Wes Studi,avatar|future|marine|native|paraplegic,237000000.0,1,James Cameron,Avatar 
169.0,Orlando Bloom,Action|Adventure|Fantasy,Johnny Depp,Jack Davenport,goddess|marriage ceremony|marriage proposal|pirate|singapore,300000000.0,1,Gore Verbinski,Pirates of the Caribbean: At World's End 
148.0,Rory Kinnear,Action|Adventure|Thriller,Christoph Waltz,Stephanie Sigman,bomb|espionage|sequel|spy|terrorist,245000000.0,1,Sam Mendes,Spectre 
164.0,Christian Bale,Action|Thriller,Tom Hardy,Joseph Gordon-Levitt,deception|imprisonment|lawlessness|police officer|terrorist plot,250000000.0,1,Christopher Nolan,The Dark Knight Rises 
,Rob Walker,Documentary,Doug Walker,,,,1,Doug Walker,Star Wars: Episode VII - The Force Awakens             
132.0,Samantha Morton,Action|Adventure|Sci-Fi,Daryl Sabara,Polly Walker,alien|american civil war|male nipple|mars|princess,263700000.0,0,Andrew Stanton,John Carter 
156.0,James Franco,Action|Adventure|Romance,J.K. Simmons,Kirsten Dunst,sandman|spider man|symbiote|venom|villain,258000000.0,0,Sam Raimi,Spider-Man 3 
100.0,Donna Murphy,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Brad Garrett,M.C. Gainey,17th century|based on fairy tale|disney|flower|tower,260000000.0,1,Nathan Greno,Tangled 
141.0,Robert Downey Jr.,Action|Adventure|Sci-Fi,Chris Hemsworth,Scarlett Johansson,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,250000000.0,1,Joss Whedon,Avengers: Age of Ultron 
153.0,Daniel Radcliffe,Adventure|Family|Fantasy|Mystery,Alan Rickman,Rupert Grint,blood|book|love|potion|professor,250000000.0,1,David Yates,Harry Potter and the Half-Blood Prince 
183.0,Lauren Cohan,Action|Adventure|Sci-Fi,Henry Cavill,Alan D. Purwin,based on comic book|batman|sequel to a reboot|superhero|superman,250000000.0,1,Zack Snyder,Batman v Superman: Dawn of Justice 
169.0,Marlon Brando,Action|Adventure|Sci-Fi,Kevin Spacey,Frank Langella,crystal|epic|lex luthor|lois lane|return to earth,209000000.0,0,Bryan Singer,Superman Returns 
106.0,Mathieu Amalric,Action|Adventure,Giancarlo Giannini,Rory Kinnear,action hero|attempted rape|bond girl|official james bond series|revenge,200000000.0,1,Marc Forster,Quantum of Solace 
151.0,Orlando Bloom,Action|Adventure|Fantasy,Johnny Depp,Jack Davenport,box office hit|giant squid|heart|liar's dice|monster,225000000.0,1,Gore Verbinski,Pirates of the Caribbean: Dead Man's Chest 
150.0,Ruth Wilson,Action|Adventure|Western,Johnny Depp,Tom Wilkinson,horse|outlaw|texas|texas ranger|train,215000000.0,0,Gore Verbinski,The Lone Ranger 
143.0,Christopher Meloni,Action|Adventure|Fantasy|Sci-Fi,Henry Cavill,Harry Lennix,based on comic book|british actor playing american character|final battle|origin of hero|reboot,225000000.0,1,Zack Snyder,Man of Steel 
150.0,Pierfrancesco Favino,Action|Adventure|Family|Fantasy,Peter Dinklage,Damián Alcázar,brother brother relationship|brother sister relationship|good versus evil|king|narnia,225000000.0,0,Andrew Adamson,The Chronicles of Narnia: Prince Caspian 
173.0,Robert Downey Jr.,Action|Adventure|Sci-Fi,Chris Hemsworth,Scarlett Johansson,alien invasion|assassin|battle|iron man|soldier,220000000.0,1,Joss Whedon,The Avengers 
136.0,Sam Claflin,Action|Adventure|Fantasy,Johnny Depp,Stephen Graham,blackbeard|captain|pirate|revenge|soldier,250000000.0,1,Rob Marshall,Pirates of the Caribbean: On Stranger Tides 
106.0,Michael Stuhlbarg,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Will Smith,Nicole Scherzinger,alien|criminal|m.i.b.|maximum security prison|prison,225000000.0,1,Barry Sonnenfeld,Men in Black 3 
164.0,Adam Brown,Adventure|Fantasy,Aidan Turner,James Nesbitt,army|elf|hobbit|middle earth|orc,250000000.0,1,Peter Jackson,The Hobbit: The Battle of the Five Armies 
153.0,Andrew Garfield,Action|Adventure|Fantasy,Emma Stone,Chris Zylka,lizard|outcast|spider|spider man|teenager,230000000.0,1,Marc Webb,The Amazing Spider-Man 
156.0,William Hurt,Action|Adventure|Drama|History,Mark Addy,Scott Grimes,1190s|archer|england|king of england|robin hood,200000000.0,1,Ridley Scott,Robin Hood 
186.0,Adam Brown,Adventure|Fantasy,Aidan Turner,James Nesbitt,dwarf|elf|lake town|mountain|sword and sorcery,225000000.0,1,Peter Jackson,The Hobbit: The Desolation of Smaug 
113.0,Eva Green,Adventure|Family|Fantasy,Christopher Lee,Kristin Scott Thomas,children|epic|friend|girl|quest,180000000.0,0,Chris Weitz,The Golden Compass 
201.0,Thomas Kretschmann,Action|Adventure|Drama|Romance,Naomi Watts,Evan Parke,animal name in title|ape abducts a woman|gorilla|island|king kong,207000000.0,1,Peter Jackson,King Kong 
194.0,Kate Winslet,Drama|Romance,Leonardo DiCaprio,Gloria Stuart,artist|love|ship|titanic|wet,200000000.0,1,James Cameron,Titanic 
147.0,Scarlett Johansson,Action|Adventure|Sci-Fi,Robert Downey Jr.,Chris Evans,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,250000000.0,1,Anthony Russo,Captain America: Civil War 
131.0,Alexander Skarsgård,Action|Adventure|Sci-Fi|Thriller,Liam Neeson,Tadanobu Asano,box office flop|hawaii|naval|oahu hawaii|ship,209000000.0,0,Peter Berg,Battleship 
124.0,Judy Greer,Action|Adventure|Sci-Fi|Thriller,Bryce Dallas Howard,Omar Sy,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,150000000.0,1,Colin Trevorrow,Jurassic World 
143.0,Helen McCrory,Action|Adventure|Thriller,Albert Finney,Rory Kinnear,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,200000000.0,1,Sam Mendes,Skyfall 
135.0,James Franco,Action|Adventure|Fantasy|Romance,J.K. Simmons,Kirsten Dunst,death|doctor|scientist|super villain|tentacle,200000000.0,1,Sam Raimi,Spider-Man 2 
195.0,Jon Favreau,Action|Adventure|Sci-Fi,Robert Downey Jr.,Don Cheadle,armor|explosion|human bomb|missile attack|terrorist,200000000.0,1,Shane Black,Iron Man 3 
108.0,Alan Rickman,Adventure|Family|Fantasy,Johnny Depp,Anne Hathaway,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,200000000.0,0,Tim Burton,Alice in Wonderland 
